age,sex,region,EURef2016,education_level,work_stat,work_type,Poscountry,Posind,Govthand,Tradeimmig,BrexitID
32,"Man","South East","Remain","Don't know","Full time student","Have never worked","Don't know","Don't know","Don't know",5,"a Remainer"
38,"Woman","London","Cannot remember","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Unemployed","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Somewhat negative effect","Fairly badly",4,"Neither a Leaver nor a Remainer"
28,"Woman","London","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Somewhat negative effect","Fairly badly",2,"a Remainer"
74,"Man","South West","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Somewhat negative effect","Fairly badly",1,"a Remainer"
20,"Woman","East of England","Did not vote","GCE A level or Higher Certificate","Not working","Have never worked","Somewhat negative effect","Very negative effect","Very badly",0,"a Remainer"
61,"Woman","North East","Leave","Nursing qualification (e.g. SEN, SRN, SCM, RGN)","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Neither positive nor negative","Fairly badly",7,"a Leaver"
39,"Woman","Wales","Did not vote","University diploma","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Somewhat negative effect","Fairly badly",0,"a Remainer"
66,"Man","East Midlands","Leave","City & Guilds certificate - advanced","Retired","Skilled Manual Work (e.g. plumber, electrician, fitter)","Don't know","Don't know","Very badly",0,"Neither a Leaver nor a Remainer"
53,"Woman","Wales","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Somewhat negative effect","Fairly well",0,"a Remainer"
57,"Woman","South West","Did not vote","CSE grade 1, GCE O level, GCSE, School Certificate","Not working","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Somewhat negative effect","Somewhat negative effect","Don't know",0,"Neither a Leaver nor a Remainer"
34,"Woman","West Midlands","Did not vote","City & Guilds certificate","Not working","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
33,"Woman","East Midlands","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Somewhat negative effect","Very badly",2,"a Remainer"
46,"Woman","East of England","Remain","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Neither positive nor negative","Neither positive nor negative","Fairly badly",7,"a Remainer"
58,"Woman","South East","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Neither positive nor negative","Don't know",3,"a Leaver"
56,"Woman","East of England","Leave","Nursing qualification (e.g. SEN, SRN, SCM, RGN)","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very positive effect","Somewhat positive effect","Fairly well",6,"a Leaver"
48,"Man","South West","Did not vote","City & Guilds certificate","Not working","Skilled Manual Work (e.g. plumber, electrician, fitter)","Don't know","Don't know","Don't know",8,"a Leaver"
73,"Man","North East","Leave","Nursing qualification (e.g. SEN, SRN, SCM, RGN)","Working part time (8-29 hours a week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very positive effect","Neither positive nor negative","Fairly well",8,"a Leaver"
75,"Man","East Midlands","Leave","Other technical, professional or higher qualification","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Neither positive nor negative","Fairly well",5,"a Leaver"
69,"Woman","South East","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Neither positive nor negative","Neither positive nor negative","Very badly",6,"a Leaver"
37,"Woman","South East","Remain","Don't know","Not working","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat positive effect","Somewhat positive effect","Very badly",5,"Neither a Leaver nor a Remainer"
58,"Man","East of England","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Working part time (8-29 hours a week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Very positive effect","Very badly",5,"Neither a Leaver nor a Remainer"
23,"Woman","West Midlands","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very negative effect","Somewhat negative effect","Very badly",10,"a Remainer"
55,"Woman","East of England","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Very negative effect","Very badly",5,"a Remainer"
39,"Woman","Yorkshire and the Humber","Cannot remember","Don't know","Working part time (8-29 hours a week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Don't know","Don't know","Don't know",5,"Don’t know"
66,"Man","Yorkshire and the Humber","Remain","Prefer not to say","Retired","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very negative effect","Somewhat negative effect","Don't know",0,"a Remainer"
45,"Woman","North East","Leave","Teaching qualification (not degree)","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Don't know","Don't know","Don't know",5,"Neither a Leaver nor a Remainer"
24,"Man","North West","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Unemployed","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
23,"Woman","Yorkshire and the Humber","Cannot remember","CSE grade 1, GCE O level, GCSE, School Certificate","Not working","Have never worked","Neither positive nor negative","Don't know","Fairly badly",6,"Don’t know"
33,"Man","Scotland","Did not vote","Prefer not to say","Working full time (30 or more hours per week)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Don't know","Neither positive nor negative","Very badly",10,"Neither a Leaver nor a Remainer"
44,"Man","Scotland","Did not vote","Don't know","Working part time (8-29 hours a week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
53,"Woman","Yorkshire and the Humber","Leave","University diploma","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Very positive effect","Fairly well",5,"Neither a Leaver nor a Remainer"
25,"Woman","East of England","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working part time (8-29 hours a week)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Very negative effect","Don't know","Very badly",2,"a Remainer"
19,"Man","Wales","Did not vote","GCE A level or Higher Certificate","Full time student","Have never worked","Somewhat negative effect","Neither positive nor negative","Don't know",3,"Neither a Leaver nor a Remainer"
43,"Woman","North East","Remain","City & Guilds certificate - advanced","Working part time (8-29 hours a week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Don't know","Somewhat negative effect","Don't know",9,"a Remainer"
57,"Woman","West Midlands","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Somewhat negative effect","Fairly badly",0,"a Remainer"
60,"Man","West Midlands","Did not vote","CSE grade 1, GCE O level, GCSE, School Certificate","Not working","Foreman or Supervisor of Other Workers (e.g. building site foreman, supervisor of cleaning workers)","Somewhat positive effect","Neither positive nor negative","Very badly",8,"Neither a Leaver nor a Remainer"
38,"Woman","North West","Remain","Teaching qualification (not degree)","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Somewhat negative effect","Fairly badly",0,"a Remainer"
58,"Woman","Yorkshire and the Humber","Did not vote","CSE grade 1, GCE O level, GCSE, School Certificate","Not working","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Don't know","Don't know","Fairly badly",5,"Neither a Leaver nor a Remainer"
63,"Man","West Midlands","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Somewhat positive effect","Fairly well",3,"Neither a Leaver nor a Remainer"
57,"Woman","South East","Remain","CSE grade 1, GCE O level, GCSE, School Certificate","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Neither positive nor negative","Neither positive nor negative","Fairly well",9,"a Remainer"
18,"Man","South East","Did not vote","CSE grade 1, GCE O level, GCSE, School Certificate","Full time student","Have never worked","Very negative effect","Somewhat negative effect","Very badly",1,"a Remainer"
45,"Woman","North West","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Somewhat negative effect","Fairly badly",2,"a Remainer"
26,"Man","North West","Did not vote","Don't know","Not working","Have never worked","Don't know","Don't know","Don't know",6,"Don’t know"
56,"Woman","South West","Leave","ONC","Working part time (8-29 hours a week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Somewhat positive effect","Fairly well",8,"a Leaver"
28,"Man","London","Remain","University diploma","Unemployed","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
45,"Man","North West","Leave","Prefer not to say","Working full time (30 or more hours per week)","Other","Very positive effect","Very positive effect","Fairly well",10,"a Leaver"
49,"Woman","Wales","Leave","University diploma","Not working","Other","Very positive effect","Very positive effect","Very well",8,"a Leaver"
22,"Woman","East Midlands","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Full time student","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
37,"Woman","East of England","Remain","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Somewhat negative effect","Very badly",6,"Neither a Leaver nor a Remainer"
21,"Woman","South East","Did not vote","GCE A level or Higher Certificate","Full time student","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Very negative effect","Somewhat negative effect","Very badly",1,"a Remainer"
31,"Man","London","Did not vote","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Somewhat negative effect","Very badly",0,"Neither a Leaver nor a Remainer"
30,"Woman","East of England","Remain","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Somewhat negative effect","Very badly",5,"a Remainer"
57,"Woman","East Midlands","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Working full time (30 or more hours per week)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Very positive effect","Neither positive nor negative","Very well",5,"a Leaver"
37,"Man","North West","Remain","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
47,"Woman","London","Leave","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don't know","Don't know","Very badly",10,"a Leaver"
42,"Man","London","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Neither positive nor negative","Fairly badly",2,"a Remainer"
63,"Woman","East of England","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Not working","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
67,"Man","West Midlands","Leave","City & Guilds certificate","Retired","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat positive effect","Neither positive nor negative","Fairly badly",5,"a Leaver"
55,"Man","London","Did not vote","City & Guilds certificate","Working full time (30 or more hours per week)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat negative effect","Neither positive nor negative","Very badly",0,"a Remainer"
59,"Man","South East","Remain","Teaching qualification (not degree)","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Very negative effect","Very badly",1,"a Remainer"
35,"Woman","North West","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
19,"Man","South East","Did not vote","GCE A level or Higher Certificate","Full time student","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat negative effect","Somewhat negative effect","Fairly badly",0,"a Remainer"
70,"Woman","East of England","Leave","Nursing qualification (e.g. SEN, SRN, SCM, RGN)","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Somewhat positive effect","Fairly well",6,"a Leaver"
55,"Woman","West Midlands","Remain","Teaching qualification (not degree)","Working part time (8-29 hours a week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
42,"Woman","Scotland","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Don't know","Fairly badly",1,"a Remainer"
19,"Woman","Scotland","Did not vote","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Full time student","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
45,"Woman","South West","Remain","City & Guilds certificate - advanced","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Somewhat negative effect","Very badly",7,"a Remainer"
25,"Woman","Yorkshire and the Humber","Remain","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Somewhat negative effect","Very badly",3,"a Remainer"
55,"Woman","South East","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working part time (Less than 8 hours a week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Neither positive nor negative","Very badly",0,"a Remainer"
40,"Man","North West","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Somewhat positive effect","Fairly well",6,"a Leaver"
51,"Woman","Scotland","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat positive effect","Neither positive nor negative","Fairly well",3,"a Leaver"
52,"Man","South East","Remain","City & Guilds certificate - advanced","Working full time (30 or more hours per week)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat negative effect","Neither positive nor negative","Very badly",2,"Neither a Leaver nor a Remainer"
42,"Man","Yorkshire and the Humber","Leave","Youth training certificate/skillseekers","Working part time (8-29 hours a week)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat positive effect","Somewhat positive effect","Fairly well",7,"a Leaver"
36,"Woman","East Midlands","Leave","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Somewhat positive effect","Fairly well",7,"a Leaver"
38,"Man","West Midlands","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
36,"Man","Yorkshire and the Humber","Remain","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Other","Don't know","Don't know","Don't know",4,"Neither a Leaver nor a Remainer"
59,"Man","West Midlands","Leave","Other technical, professional or higher qualification","Retired","Foreman or Supervisor of Other Workers (e.g. building site foreman, supervisor of cleaning workers)","Very positive effect","Very positive effect","Very well",5,"a Leaver"
57,"Man","East of England","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat negative effect","Somewhat negative effect","Fairly badly",0,"a Remainer"
28,"Man","North West","Cannot remember","CSE grade 1, GCE O level, GCSE, School Certificate","Working full time (30 or more hours per week)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Very negative effect","Don't know","Very badly",0,"Neither a Leaver nor a Remainer"
39,"Man","London","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Neither positive nor negative","Fairly badly",3,"a Leaver"
46,"Woman","South West","Remain","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Other","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
33,"Woman","Scotland","Did not vote","Other technical, professional or higher qualification","Other","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
66,"Woman","Yorkshire and the Humber","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Don't know","Fairly badly",8,"a Leaver"
38,"Woman","North West","Remain","Other technical, professional or higher qualification","Working part time (8-29 hours a week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Don't know","Neither positive nor negative","Fairly badly",3,"a Remainer"
61,"Man","North East","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Working full time (30 or more hours per week)","Foreman or Supervisor of Other Workers (e.g. building site foreman, supervisor of cleaning workers)","Very positive effect","Somewhat positive effect","Fairly well",9,"a Leaver"
55,"Woman","Yorkshire and the Humber","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Working part time (8-29 hours a week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very positive effect","Very positive effect","Fairly well",10,"a Leaver"
47,"Woman","London","Leave","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very positive effect","Neither positive nor negative","Fairly well",5,"a Leaver"
25,"Man","North East","Remain","Teaching qualification (not degree)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Somewhat positive effect","Fairly well",10,"a Remainer"
25,"Woman","East Midlands","Remain","GCE A level or Higher Certificate","Unemployed","Have never worked","Somewhat negative effect","Somewhat negative effect","Very badly",2,"Neither a Leaver nor a Remainer"
53,"Woman","Scotland","Remain","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Somewhat negative effect","Fairly well",6,"Neither a Leaver nor a Remainer"
36,"Man","South East","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Very negative effect","Very badly",5,"a Remainer"
68,"Man","East of England","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Retired","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat positive effect","Neither positive nor negative","Fairly well",3,"a Leaver"
59,"Woman","West Midlands","Did not vote","No formal qualifications","Not working","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
29,"Woman","West Midlands","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat positive effect","Neither positive nor negative","Fairly badly",10,"Neither a Leaver nor a Remainer"
42,"Man","East Midlands","Remain","City & Guilds certificate","Working full time (30 or more hours per week)","Other","Very negative effect","Don't know","Very badly",4,"Neither a Leaver nor a Remainer"
65,"Woman","London","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Unemployed","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Neither positive nor negative","Fairly well",6,"a Leaver"
24,"Man","South West","Did not vote","CSE grade 1, GCE O level, GCSE, School Certificate","Working part time (8-29 hours a week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Neither positive nor negative","Neither positive nor negative","Fairly badly",5,"Neither a Leaver nor a Remainer"
49,"Man","Scotland","Remain","Prefer not to say","Not working","Other","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
27,"Man","London","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Somewhat negative effect","Very badly",2,"a Remainer"
38,"Man","North East","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Somewhat negative effect","Fairly badly",3,"Neither a Leaver nor a Remainer"
47,"Man","North West","Did not vote","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Very positive effect","Very well",2,"Neither a Leaver nor a Remainer"
34,"Woman","North West","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working part time (8-29 hours a week)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat positive effect","Don't know","Fairly well",7,"a Leaver"
47,"Man","Yorkshire and the Humber","Leave","GCE A level or Higher Certificate","Unemployed","Other","Very positive effect","Very positive effect","Fairly badly",10,"a Leaver"
56,"Man","North West","Remain","GCE A level or Higher Certificate","Working part time (Less than 8 hours a week)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
70,"Man","South West","Remain","City & Guilds certificate","Working part time (8-29 hours a week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Somewhat positive effect","Somewhat positive effect","Fairly well",5,"a Leaver"
71,"Man","South East","Remain","No formal qualifications","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Somewhat positive effect","Fairly well",8,"a Leaver"
23,"Man","North East","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Full time student","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very negative effect","Somewhat negative effect","Fairly badly",3,"a Remainer"
70,"Man","South West","Remain","CSE grades 2-5","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Neither positive nor negative","Fairly well",5,"a Leaver"
66,"Man","North West","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very positive effect","Very positive effect","Very well",6,"a Leaver"
39,"Man","London","Did not vote","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat positive effect","Neither positive nor negative","Fairly well",3,"a Leaver"
48,"Woman","Wales","Cannot remember","University diploma","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Somewhat negative effect","Fairly badly",3,"Neither a Leaver nor a Remainer"
44,"Woman","South East","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Somewhat positive effect","Fairly well",7,"a Leaver"
36,"Man","North East","Did not vote","City & Guilds certificate","Working full time (30 or more hours per week)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Don't know","Don't know","Don't know",9,"Don’t know"
48,"Man","East of England","Leave","Other technical, professional or higher qualification","Not working","Other","Somewhat negative effect","Neither positive nor negative","Very badly",5,"Neither a Leaver nor a Remainer"
67,"Woman","East of England","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Very positive effect","Very well",10,"a Leaver"
38,"Woman","West Midlands","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Very badly",3,"a Remainer"
36,"Woman","East of England","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working part time (8-29 hours a week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
18,"Man","North West","Did not vote","GCE A level or Higher Certificate","Full time student","Have never worked","Very positive effect","Very positive effect","Fairly well",7,"a Leaver"
48,"Woman","East Midlands","Remain","CSE grade 1, GCE O level, GCSE, School Certificate","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Very badly",3,"a Remainer"
48,"Man","South East","Cannot remember","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Neither positive nor negative","Neither positive nor negative","Fairly well",3,"Neither a Leaver nor a Remainer"
64,"Man","South West","Remain","Other technical, professional or higher qualification","Retired","Other","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
